agent,timestep,location,x,y,orientation
2,44,445,25,14,-1
3,40,214,4,7,-1
3,41,244,4,8,-1
3,42,274,4,9,-1
3,43,304,4,10,-1
3,44,334,4,11,-1
4,40,771,21,25,-1
4,41,772,22,25,-1
4,42,773,23,25,-1
4,43,774,24,25,-1
4,44,775,25,25,-1
0,45,126,6,4,-1
0,46,125,5,4,-1
0,47,124,4,4,-1
0,48,154,4,5,-1
0,49,184,4,6,-1
1,45,768,18,25,-1
1,46,767,17,25,-1
1,47,766,16,25,-1
1,48,736,16,24,-1
1,49,706,16,23,-1
2,45,475,25,15,-1
2,46,505,25,16,-1
2,47,535,25,17,-1
2,48,565,25,18,-1
2,49,595,25,19,-1
3,45,364,4,12,-1
3,46,394,4,13,-1
3,47,424,4,14,-1
3,48,454,4,15,-1
3,49,484,4,16,-1
4,45,805,25,26,-1
4,46,804,24,26,-1
4,47,803,23,26,-1
4,48,802,22,26,-1
4,49,801,21,26,-1
0,50,214,4,7,-1
0,51,244,4,8,-1
0,52,274,4,9,-1
0,53,304,4,10,-1
0,54,334,4,11,-1
1,50,676,16,22,-1
1,51,646,16,21,-1
1,52,616,16,20,-1
1,53,617,17,20,-1
1,54,587,17,19,-1
2,50,625,25,20,-1
2,51,655,25,21,-1
2,52,685,25,22,-1
2,53,715,25,23,-1
2,54,745,25,24,-1
3,50,485,5,16,-1
3,51,486,6,16,-1
3,52,487,7,16,-1
3,53,488,8,16,-1
3,54,489,9,16,-1
4,50,800,20,26,-1
4,51,799,19,26,-1
4,52,798,18,26,-1
4,53,797,17,26,-1
4,54,796,16,26,-1
0,55,364,4,12,-1
0,56,394,4,13,-1
0,57,424,4,14,-1
0,58,454,4,15,-1
0,59,484,4,16,-1
1,55,557,17,18,-1
1,56,527,17,17,-1
1,57,526,16,17,-1
1,58,525,15,17,-1
1,59,495,15,16,-1
2,55,775,25,25,-1
2,56,745,25,24,-1
2,57,746,26,24,-1
2,58,716,26,23,-1
2,59,686,26,22,-1
3,55,490,10,16,-1
3,56,491,11,16,-1
3,57,492,12,16,-1
3,58,493,13,16,-1
3,59,494,14,16,-1
4,55,766,16,25,-1
4,56,736,16,24,-1
4,57,706,16,23,-1
4,58,676,16,22,-1
4,59,646,16,21,-1
0,60,485,5,16,-1
0,61,486,6,16,-1
0,62,487,7,16,-1
0,63,488,8,16,-1
0,64,489,9,16,-1
1,60,465,15,15,-1
1,61,435,15,14,-1
1,62,405,15,13,-1
1,63,375,15,12,-1
1,64,345,15,11,-1
2,60,656,26,21,-1
2,61,626,26,20,-1
2,62,596,26,19,-1
