agent,timestep,location,x,y,orientation
3,0,777,27,25,-1
3,1,776,26,25,-1
3,2,775,25,25,-1
3,3,774,24,25,-1
3,4,773,23,25,-1
3,5,743,23,24,-1
3,6,713,23,23,-1
3,7,683,23,22,-1
3,8,653,23,21,-1
3,9,623,23,20,-1
3,10,622,22,20,-1
3,11,621,21,20,-1
3,12,591,21,19,-1
3,13,561,21,18,-1
3,14,560,20,18,-1
3,15,559,19,18,-1
3,16,558,18,18,-1
3,17,528,18,17,-1
3,18,498,18,16,-1
3,19,468,18,15,-1
3,20,438,18,14,-1
3,21,408,18,13,-1
3,22,378,18,12,-1
3,23,348,18,11,-1
3,24,318,18,10,-1
3,25,288,18,9,-1
3,26,258,18,8,-1
3,27,228,18,7,-1
3,28,198,18,6,-1
3,29,168,18,5,-1
3,30,168,18,5,-1
3,31,168,18,5,-1
3,32,168,18,5,-1
3,33,122,2,4,-1
3,34,123,3,4,-1
3,35,124,4,4,-1
3,36,125,5,4,-1
3,37,126,6,4,-1
3,38,127,7,4,-1
3,39,128,8,4,-1
3,40,129,9,4,-1
3,41,99,9,3,-1
3,42,100,10,3,-1
3,43,101,11,3,-1
3,44,102,12,3,-1
3,45,103,13,3,-1
3,46,104,14,3,-1
3,47,105,15,3,-1
3,48,106,16,3,-1
3,49,107,17,3,-1
3,50,108,18,3,-1
3,51,138,18,4,-1
3,52,138,18,4,-1
3,53,138,18,4,-1
3,54,147,27,4,-1
3,55,146,26,4,-1
3,56,145,25,4,-1
3,57,144,24,4,-1
3,58,143,23,4,-1
3,59,142,22,4,-1
3,60,141,21,4,-1
3,61,171,21,5,-1
3,62,201,21,6,-1
3,63,200,20,6,-1
3,64,199,19,6,-1
3,65,198,18,6,-1
3,66,228,18,7,-1
3,67,258,18,8,-1
3,68,288,18,9,-1
3,69,318,18,10,-1
3,70,348,18,11,-1
3,71,378,18,12,-1
3,72,408,18,13,-1
3,73,407,17,13,-1
3,74,406,16,13,-1
3,75,405,15,13,-1
3,76,404,14,13,-1
3,77,403,13,13,-1
3,78,433,13,14,-1
3,79,463,13,15,-1
3,80,493,13,16,-1
3,81,523,13,17,-1
3,82,553,13,18,-1
3,83,583,13,19,-1
3,84,613,13,20,-1
3,85,643,13,21,-1
3,86,673,13,22,-1
3,87,703,13,23,-1
3,88,733,13,24,-1
3,89,763,13,25,-1
3,90,793,13,26,-1
3,91,793,13,26,-1
3,92,793,13,26,-1
3,93,793,13,26,-1
3,94,777,27,25,-1
3,95,776,26,25,-1
3,96,775,25,25,-1
3,97,774,24,25,-1
3,98,773,23,25,-1
3,99,772,22,25,-1
3,100,771,21,25,-1
3,101,770,20,25,-1
3,102,769,19,25,-1
3,103,768,18,25,-1
3,104,767,17,25,-1
3,105,766,16,25,-1
3,106,765,15,25,-1
3,107,764,14,25,-1
3,108,763,13,25,-1
3,109,793,13,26,-1
3,110,793,13,26,-1
3,111,793,13,26,-1
3,112,147,27,4,-1
3,113,146,26,4,-1
3,114,145,25,4,-1
3,115,144,24,4,-1
3,116,143,23,4,-1
3,117,142,22,4,-1
3,118,141,21,4,-1
3,119,171,21,5,-1
3,120,201,21,6,-1
3,121,200,20,6,-1
3,122,199,19,6,-1
3,123,169,19,5,-1
3,124,169,19,5,-1
3,125,146,26,4,-1
3,126,145,25,4,-1
3,127,144,24,4,-1
3,128,143,23,4,-1
3,129,142,22,4,-1
3,130,141,21,4,-1
3,131,171,21,5,-1
3,132,201,21,6,-1
3,133,200,20,6,-1
3,134,199,19,6,-1
3,135,198,18,6,-1
3,136,228,18,7,-1
3,137,258,18,8,-1
3,138,288,18,9,-1
3,139,318,18,10,-1
3,140,348,18,11,-1
3,141,378,18,12,-1
3,142,408,18,13,-1
3,143,407,17,13,-1
3,144,406,16,13,-1
3,145,405,15,13,-1
3,146,404,14,13,-1
3,147,403,13,13,-1
3,148,402,12,13,-1
3,149,401,11,13,-1
3,150,431,11,14,-1
3,151,461,11,15,-1
3,152,491,11,16,-1
3,153,521,11,17,-1
3,154,551,11,18,-1
3,155,581,11,19,-1
3,156,611,11,20,-1
3,157,641,11,21,-1
3,158,671,11,22,-1
3,159,701,11,23,-1
3,160,731,11,24,-1
3,161,761,11,25,-1
3,162,791,11,26,-1
3,163,791,11,26,-1
3,164,776,26,25,-1
3,165,775,25,25,-1
3,166,774,24,25,-1
3,167,773,23,25,-1
3,168,772,22,25,-1
3,169,771,21,25,-1
3,170,770,20,25,-1
3,171,769,19,25,-1
3,172,739,19,24,-1
3,173,709,19,23,-1
3,174,679,19,22,-1
3,175,649,19,21,-1
3,176,619,19,20,-1
3,177,589,19,19,-1
3,178,589,19,19,-1
3,179,589,19,19,-1
3,180,602,2,20,-1
3,181,603,3,20,-1
3,182,604,4,20,-1
3,183,605,5,20,-1
3,184,606,6,20,-1
3,185,607,7,20,-1
3,186,608,8,20,-1
3,187,609,9,20,-1
3,188,610,10,20,-1
3,189,611,11,20,-1
3,190,612,12,20,-1
3,191,613,13,20,-1
3,192,614,14,20,-1
3,193,615,15,20,-1
3,194,616,16,20,-1
3,195,617,17,20,-1
3,196,647,17,21,-1
3,197,677,17,22,-1
3,198,707,17,23,-1
3,199,737,17,24,-1
3,200,767,17,25,-1
3,201,797,17,26,-1
3,202,797,17,26,-1
3,203,797,17,26,-1
