agent,timestep,location,x,y,orientation
0,0,782,2,26,-1
0,1,783,3,26,-1
0,2,784,4,26,-1
0,3,785,5,26,-1
0,4,786,6,26,-1
0,5,787,7,26,-1
0,6,788,8,26,-1
0,7,789,9,26,-1
0,8,819,9,27,-1
0,9,820,10,27,-1
0,10,821,11,27,-1
0,11,822,12,27,-1
0,12,823,13,27,-1
0,13,824,14,27,-1
0,14,825,15,27,-1
0,15,795,15,26,-1
0,16,795,15,26,-1
0,17,122,2,4,-1
0,18,123,3,4,-1
0,19,124,4,4,-1
0,20,125,5,4,-1
0,21,126,6,4,-1
0,22,127,7,4,-1
0,23,128,8,4,-1
0,24,129,9,4,-1
0,25,159,9,5,-1
0,26,189,9,6,-1
0,27,190,10,6,-1
0,28,191,11,6,-1
0,29,192,12,6,-1
0,30,162,12,5,-1
0,31,162,12,5,-1
0,32,162,12,5,-1
0,33,162,12,5,-1
0,34,777,27,25,-1
0,35,776,26,25,-1
0,36,775,25,25,-1
0,37,774,24,25,-1
0,38,773,23,25,-1
0,39,772,22,25,-1
0,40,771,21,25,-1
0,41,770,20,25,-1
0,42,769,19,25,-1
0,43,768,18,25,-1
0,44,767,17,25,-1
0,45,766,16,25,-1
0,46,765,15,25,-1
0,47,764,14,25,-1
0,48,794,14,26,-1
0,49,794,14,26,-1
0,50,794,14,26,-1
0,51,602,2,20,-1
0,52,603,3,20,-1
0,53,604,4,20,-1
0,54,605,5,20,-1
0,55,606,6,20,-1
0,56,607,7,20,-1
0,57,577,7,19,-1
0,58,547,7,18,-1
0,59,517,7,17,-1
0,60,487,7,16,-1
0,61,457,7,15,-1
0,62,427,7,14,-1
0,63,397,7,13,-1
0,64,367,7,12,-1
0,65,337,7,11,-1
0,66,307,7,10,-1
0,67,277,7,9,-1
0,68,247,7,8,-1
0,69,217,7,7,-1
0,70,218,8,7,-1
0,71,219,9,7,-1
0,72,189,9,6,-1
0,73,159,9,5,-1
0,74,129,9,4,-1
0,75,99,9,3,-1
0,76,100,10,3,-1
0,77,101,11,3,-1
0,78,102,12,3,-1
0,79,132,12,4,-1
0,80,132,12,4,-1
0,81,132,12,4,-1
0,82,132,12,4,-1
0,83,776,26,25,-1
0,84,775,25,25,-1
0,85,774,24,25,-1
0,86,773,23,25,-1
0,87,772,22,25,-1
0,88,771,21,25,-1
0,89,770,20,25,-1
0,90,769,19,25,-1
0,91,768,18,25,-1
0,92,767,17,25,-1
0,93,766,16,25,-1
0,94,765,15,25,-1
0,95,764,14,25,-1
0,96,763,13,25,-1
0,97,793,13,26,-1
0,98,793,13,26,-1
0,99,777,27,25,-1
0,100,776,26,25,-1
0,101,775,25,25,-1
0,102,774,24,25,-1
0,103,773,23,25,-1
0,104,743,23,24,-1
0,105,713,23,23,-1
0,106,683,23,22,-1
0,107,653,23,21,-1
0,108,623,23,20,-1
0,109,622,22,20,-1
0,110,621,21,20,-1
0,111,591,21,19,-1
0,112,561,21,18,-1
0,113,560,20,18,-1
0,114,559,19,18,-1
0,115,558,18,18,-1
0,116,528,18,17,-1
0,117,498,18,16,-1
0,118,468,18,15,-1
0,119,438,18,14,-1
0,120,408,18,13,-1
0,121,378,18,12,-1
0,122,348,18,11,-1
0,123,347,17,11,-1
0,124,346,16,11,-1
0,125,345,15,11,-1
0,126,344,14,11,-1
0,127,343,13,11,-1
0,128,342,12,11,-1
0,129,312,12,10,-1
0,130,282,12,9,-1
0,131,252,12,8,-1
0,132,222,12,7,-1
0,133,192,12,6,-1
0,134,162,12,5,-1
0,135,162,12,5,-1
0,136,162,12,5,-1
0,137,162,12,5,-1
0,138,122,2,4,-1
0,139,123,3,4,-1
0,140,124,4,4,-1
0,141,125,5,4,-1
0,142,126,6,4,-1
0,143,127,7,4,-1
0,144,128,8,4,-1
0,145,129,9,4,-1
0,146,99,9,3,-1
0,147,100,10,3,-1
0,148,101,11,3,-1
0,149,102,12,3,-1
0,150,103,13,3,-1
0,151,104,14,3,-1
0,152,105,15,3,-1
0,153,106,16,3,-1
0,154,107,17,3,-1
0,155,108,18,3,-1
0,156,109,19,3,-1
0,157,139,19,4,-1
0,158,139,19,4,-1
0,159,139,19,4,-1
0,160,146,26,4,-1
0,161,145,25,4,-1
0,162,144,24,4,-1
0,163,143,23,4,-1
0,164,142,22,4,-1
0,165,141,21,4,-1
0,166,171,21,5,-1
0,167,201,21,6,-1
0,168,200,20,6,-1
0,169,199,19,6,-1
0,170,198,18,6,-1
0,171,197,17,6,-1
0,172,196,16,6,-1
0,173,195,15,6,-1
0,174,194,14,6,-1
0,175,224,14,7,-1
0,176,254,14,8,-1
0,177,284,14,9,-1
0,178,314,14,10,-1
0,179,344,14,11,-1
0,180,374,14,12,-1
0,181,374,14,12,-1
