agent,timestep,location,x,y,orientation
2,0,602,2,20,-1
2,1,603,3,20,-1
2,2,604,4,20,-1
2,3,605,5,20,-1
2,4,606,6,20,-1
2,5,607,7,20,-1
2,6,577,7,19,-1
2,7,547,7,18,-1
2,8,517,7,17,-1
2,9,487,7,16,-1
2,10,457,7,15,-1
2,11,427,7,14,-1
2,12,397,7,13,-1
2,13,367,7,12,-1
2,14,337,7,11,-1
2,15,307,7,10,-1
2,16,277,7,9,-1
2,17,247,7,8,-1
2,18,217,7,7,-1
2,19,218,8,7,-1
2,20,219,9,7,-1
2,21,189,9,6,-1
2,22,159,9,5,-1
2,23,129,9,4,-1
2,24,99,9,3,-1
2,25,100,10,3,-1
2,26,101,11,3,-1
2,27,102,12,3,-1
2,28,103,13,3,-1
2,29,104,14,3,-1
2,30,105,15,3,-1
2,31,106,16,3,-1
2,32,107,17,3,-1
2,33,108,18,3,-1
2,34,138,18,4,-1
2,35,138,18,4,-1
2,36,138,18,4,-1
2,37,138,18,4,-1
2,38,782,2,26,-1
2,39,783,3,26,-1
2,40,784,4,26,-1
2,41,785,5,26,-1
2,42,786,6,26,-1
2,43,787,7,26,-1
2,44,788,8,26,-1
2,45,789,9,26,-1
2,46,819,9,27,-1
2,47,820,10,27,-1
2,48,821,11,27,-1
2,49,822,12,27,-1
2,50,823,13,27,-1
2,51,793,13,26,-1
2,52,793,13,26,-1
2,53,362,2,12,-1
2,54,363,3,12,-1
2,55,364,4,12,-1
2,56,365,5,12,-1
2,57,366,6,12,-1
2,58,367,7,12,-1
2,59,368,8,12,-1
2,60,369,9,12,-1
2,61,399,9,13,-1
2,62,400,10,13,-1
2,63,401,11,13,-1
2,64,402,12,13,-1
2,65,403,13,13,-1
2,66,404,14,13,-1
2,67,405,15,13,-1
2,68,406,16,13,-1
2,69,407,17,13,-1
2,70,437,17,14,-1
2,71,467,17,15,-1
2,72,497,17,16,-1
2,73,527,17,17,-1
2,74,557,17,18,-1
2,75,587,17,19,-1
2,76,587,17,19,-1
2,77,147,27,4,-1
2,78,146,26,4,-1
2,79,145,25,4,-1
2,80,144,24,4,-1
2,81,143,23,4,-1
2,82,142,22,4,-1
2,83,141,21,4,-1
2,84,111,21,3,-1
2,85,110,20,3,-1
2,86,109,19,3,-1
2,87,108,18,3,-1
2,88,107,17,3,-1
2,89,106,16,3,-1
2,90,105,15,3,-1
2,91,104,14,3,-1
2,92,103,13,3,-1
2,93,102,12,3,-1
2,94,132,12,4,-1
2,95,132,12,4,-1
2,96,132,12,4,-1
2,97,146,26,4,-1
2,98,145,25,4,-1
2,99,144,24,4,-1
2,100,143,23,4,-1
2,101,142,22,4,-1
2,102,141,21,4,-1
2,103,111,21,3,-1
2,104,110,20,3,-1
2,105,109,19,3,-1
2,106,108,18,3,-1
2,107,107,17,3,-1
2,108,106,16,3,-1
2,109,105,15,3,-1
2,110,104,14,3,-1
2,111,103,13,3,-1
2,112,102,12,3,-1
2,113,101,11,3,-1
2,114,131,11,4,-1
2,115,131,11,4,-1
2,116,131,11,4,-1
2,117,782,2,26,-1
2,118,783,3,26,-1
2,119,784,4,26,-1
2,120,785,5,26,-1
2,121,786,6,26,-1
2,122,787,7,26,-1
2,123,788,8,26,-1
2,124,789,9,26,-1
2,125,819,9,27,-1
2,126,820,10,27,-1
2,127,821,11,27,-1
2,128,822,12,27,-1
2,129,823,13,27,-1
2,130,824,14,27,-1
2,131,794,14,26,-1
2,132,794,14,26,-1
2,133,782,2,26,-1
2,134,783,3,26,-1
2,135,784,4,26,-1
2,136,785,5,26,-1
2,137,786,6,26,-1
2,138,787,7,26,-1
2,139,788,8,26,-1
2,140,789,9,26,-1
2,141,819,9,27,-1
2,142,820,10,27,-1
2,143,821,11,27,-1
2,144,822,12,27,-1
2,145,823,13,27,-1
2,146,824,14,27,-1
2,147,825,15,27,-1
2,148,826,16,27,-1
2,149,827,17,27,-1
2,150,828,18,27,-1
2,151,829,19,27,-1
2,152,799,19,26,-1
2,153,799,19,26,-1
