agent,timestep,location,x,y,orientation
1,0,362,2,12,-1
1,1,363,3,12,-1
1,2,364,4,12,-1
1,3,365,5,12,-1
1,4,366,6,12,-1
1,5,367,7,12,-1
1,6,368,8,12,-1
1,7,369,9,12,-1
1,8,399,9,13,-1
1,9,400,10,13,-1
1,10,401,11,13,-1
1,11,402,12,13,-1
1,12,403,13,13,-1
1,13,433,13,14,-1
1,14,463,13,15,-1
1,15,493,13,16,-1
1,16,523,13,17,-1
1,17,553,13,18,-1
1,18,583,13,19,-1
1,19,613,13,20,-1
1,20,614,14,20,-1
1,21,615,15,20,-1
1,22,616,16,20,-1
1,23,646,16,21,-1
1,24,676,16,22,-1
1,25,706,16,23,-1
1,26,736,16,24,-1
1,27,766,16,25,-1
1,28,796,16,26,-1
1,29,796,16,26,-1
1,30,796,16,26,-1
1,31,796,16,26,-1
1,32,122,2,4,-1
1,33,123,3,4,-1
1,34,124,4,4,-1
1,35,125,5,4,-1
1,36,126,6,4,-1
1,37,127,7,4,-1
1,38,128,8,4,-1
1,39,129,9,4,-1
1,40,99,9,3,-1
1,41,100,10,3,-1
1,42,101,11,3,-1
1,43,102,12,3,-1
1,44,103,13,3,-1
1,45,104,14,3,-1
1,46,105,15,3,-1
1,47,106,16,3,-1
1,48,107,17,3,-1
1,49,108,18,3,-1
1,50,138,18,4,-1
1,51,138,18,4,-1
1,52,138,18,4,-1
1,53,776,26,25,-1
1,54,775,25,25,-1
1,55,774,24,25,-1
1,56,773,23,25,-1
1,57,743,23,24,-1
1,58,713,23,23,-1
1,59,683,23,22,-1
1,60,653,23,21,-1
1,61,623,23,20,-1
1,62,593,23,19,-1
1,63,563,23,18,-1
1,64,533,23,17,-1
1,65,503,23,16,-1
1,66,473,23,15,-1
1,67,443,23,14,-1
1,68,413,23,13,-1
1,69,383,23,12,-1
1,70,353,23,11,-1
1,71,323,23,10,-1
1,72,293,23,9,-1
1,73,263,23,8,-1
1,74,233,23,7,-1
1,75,232,22,7,-1
1,76,231,21,7,-1
1,77,201,21,6,-1
1,78,171,21,5,-1
1,79,141,21,4,-1
1,80,111,21,3,-1
1,81,110,20,3,-1
1,82,109,19,3,-1
1,83,108,18,3,-1
1,84,138,18,4,-1
1,85,138,18,4,-1
1,86,776,26,25,-1
1,87,775,25,25,-1
1,88,774,24,25,-1
1,89,773,23,25,-1
1,90,743,23,24,-1
1,91,713,23,23,-1
1,92,683,23,22,-1
1,93,653,23,21,-1
1,94,623,23,20,-1
1,95,593,23,19,-1
1,96,563,23,18,-1
1,97,533,23,17,-1
1,98,503,23,16,-1
1,99,473,23,15,-1
1,100,443,23,14,-1
1,101,413,23,13,-1
1,102,383,23,12,-1
1,103,353,23,11,-1
1,104,323,23,10,-1
1,105,293,23,9,-1
1,106,263,23,8,-1
1,107,233,23,7,-1
1,108,232,22,7,-1
1,109,231,21,7,-1
1,110,201,21,6,-1
1,111,171,21,5,-1
1,112,141,21,4,-1
1,113,111,21,3,-1
1,114,110,20,3,-1
1,115,109,19,3,-1
1,116,108,18,3,-1
1,117,138,18,4,-1
1,118,138,18,4,-1
1,119,138,18,4,-1
1,120,362,2,12,-1
1,121,363,3,12,-1
1,122,364,4,12,-1
1,123,365,5,12,-1
1,124,366,6,12,-1
1,125,367,7,12,-1
1,126,337,7,11,-1
1,127,307,7,10,-1
1,128,277,7,9,-1
1,129,247,7,8,-1
1,130,217,7,7,-1
1,131,218,8,7,-1
1,132,219,9,7,-1
1,133,189,9,6,-1
1,134,159,9,5,-1
1,135,129,9,4,-1
1,136,99,9,3,-1
1,137,100,10,3,-1
1,138,101,11,3,-1
1,139,102,12,3,-1
1,140,132,12,4,-1
1,141,132,12,4,-1
1,142,777,27,25,-1
1,143,776,26,25,-1
1,144,775,25,25,-1
1,145,774,24,25,-1
1,146,773,23,25,-1
1,147,772,22,25,-1
1,148,771,21,25,-1
1,149,770,20,25,-1
1,150,769,19,25,-1
1,151,799,19,26,-1
1,152,799,19,26,-1
1,153,799,19,26,-1
